Array Size,MergeSort (µs),QuickSort (µs)
296,144,303
331,158,365
170,77,109
18,6,4
430,207,602
474,234,714
73,29,24
491,200,554
276,99,198
464,163,511
263,87,179
298,103,225
357,125,319
110,35,36
433,158,449
386,134,361
258,86,175
120,37,44
338,120,312
341,134,251
214,58,99
497,143,474
57,14,10
103,24,26
326,92,215
116,29,32
8,2,1
329,89,219
138,37,44
195,55,84
70,17,14
52,13,8
425,118,353
336,92,228
213,56,97
109,27,28
19,8,2
174,45,67
438,125,369
345,92,246
224,64,106
180,47,72
5,2,1
139,36,45
59,14,10
412,118,324
169,44,65
441,125,375
402,112,320
481,140,429
392,109,298
164,42,60
414,117,334
114,29,31
352,97,249
354,98,251
147,39,49
429,124,359
270,73,150
243,66,124
177,45,68
168,43,63
464,135,436
247,67,130
386,109,303
21,6,3
174,47,65
467,132,424
250,69,131
25,8,3
96,22,23
286,79,169
192,49,81
92,23,21
272,74,151
201,53,89
236,65,119
443,124,378
47,12,7
361,100,262
175,44,69
334,95,229
149,37,51
330,95,222
87,22,19
215,58,101
7,4,2
422,121,288
349,80,201
319,73,166
264,61,121
273,63,126
335,76,190
432,103,297
110,23,24
54,12,8
474,112,354
24,7,2
484,115,365
355,82,206
